!!!SBtab Document='Model'					
					
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'					
!ID	!ReactionFormula	!Name	!IsReversible	!KineticLaw:Name	!KineticLaw:Formula
E1	X1 <=> S2	E1	True	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( X1 / kM_R1_X1 ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( S2 / kM_R1_S2 ) ) / ( ( 1 + X1 / kM_R1_X1 ) + ( 1 + S2 / kM_R1_S2 ) - 1 )
E2	S2 <=> S3	E2	True	Common saturable (CM)	u_R2 * ( kC_R2 * sqrt( kEQ_R2  * kM_R2_S2 / kM_R2_S3 ) * ( S2 / kM_R2_S2 ) - kC_R2 / sqrt( kEQ_R2  * kM_R2_S2 / kM_R2_S3 ) * ( S3 / kM_R2_S3 ) ) / ( ( 1 + S2 / kM_R2_S2 ) + ( 1 + S3 / kM_R2_S3 ) - 1 )
E3	S3 <=> S4	E3	True	Common saturable (CM)	u_R3 * ( kC_R3 * sqrt( kEQ_R3  * kM_R3_S3 / kM_R3_S4 ) * ( S3 / kM_R3_S3 ) - kC_R3 / sqrt( kEQ_R3  * kM_R3_S3 / kM_R3_S4 ) * ( S4 / kM_R3_S4 ) ) / ( ( 1 + S3 / kM_R3_S3 ) + ( 1 + S4 / kM_R3_S4 ) - 1 )
E4	S4 <=> S5	E4	True	Common saturable (CM)	u_R4 * ( kC_R4 * sqrt( kEQ_R4  * kM_R4_S4 / kM_R4_S5 ) * ( S4 / kM_R4_S4 ) - kC_R4 / sqrt( kEQ_R4  * kM_R4_S4 / kM_R4_S5 ) * ( S5 / kM_R4_S5 ) ) / ( ( 1 + S4 / kM_R4_S4 ) + ( 1 + S5 / kM_R4_S5 ) - 1 )
E5	S5 <=> X6	E5	True	Common saturable (CM)	u_R5 * ( kC_R5 * sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X6 ) * ( S5 / kM_R5_S5 ) - kC_R5 / sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X6 ) * ( X6 / kM_R5_X6 ) ) / ( ( 1 + S5 / kM_R5_S5 ) + ( 1 + X6 / kM_R5_X6 ) - 1 )
					
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'					
!ID	!Name	!IsConstant			
X1	X1	True			
S2	S2	False			
S3	S3	False			
S4	S4	False			
S5	S5	False			
X6	X6	True			
					
!!SBtab TableID='Position' TableType='Position' TableName='Network layout'					
!Element	!PositionX	!PositionY			
X1	-0.667293	0.267545			
S2	-0.124668	0.267545			
S3	0.392117	0.267545			
S4	1.000647	0.267541			
S5	1.529046	0.269135			
X6	2.136265	0.264671			
E1	-0.363682	0.267545			
E2	0.107885	0.267545			
E3	0.731256	0.267411			
E4	1.312639	0.269995			
E5	1.865265	0.264396			
					
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	
equilibrium constant	E1		1	dimensionless	
equilibrium constant	E2		1	dimensionless	
equilibrium constant	E3		1	dimensionless	
equilibrium constant	E4		1	dimensionless	
equilibrium constant	E5		1	dimensionless	
catalytic rate constant geometric mean	E1		1	1/s	
catalytic rate constant geometric mean	E2		1	1/s	
catalytic rate constant geometric mean	E3		1	1/s	
catalytic rate constant geometric mean	E4		1	1/s	
catalytic rate constant geometric mean	E5		1	1/s	
Michaelis constant	E1	X1	1	mM	
Michaelis constant	E1	S2	1	mM	
Michaelis constant	E2	S2	1	mM	
Michaelis constant	E2	S3	1	mM	
Michaelis constant	E3	S3	1	mM	
Michaelis constant	E3	S4	1	mM	
Michaelis constant	E4	S4	1	mM	
Michaelis constant	E4	S5	1	mM	
Michaelis constant	E5	S5	1	mM	
Michaelis constant	E5	X6	1	mM	
concentration		X1	1	mM	
concentration		S2	1	mM	
concentration		S3	1	mM	
concentration		S4	1	mM	
concentration		S5	1	mM	
concentration		X6	1	mM	
concentration of enzyme	E1		1	mM	
concentration of enzyme	E2		1	mM	
concentration of enzyme	E3		1	mM	
concentration of enzyme	E4		1	mM	
concentration of enzyme	E5		1	mM	
